Origin,Edge,Destination
<button id=1 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_collections' description='Collections Button'> Collections </button><button id=2 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_search' description='Search'> Search </button><div id=3 class='' description='Like this card;;Share Chat with pandas DataFrames using LLMs;;More options'>     <div id=4 class='' description='More options'>  </div>    <div id=5 class='' description='Share Chat with pandas DataFrames using LLMs'>  </div>    <div id=6 class='' description='Like this card'>  </div> </div><div id=7 class='com.google.android.googlequicksearchbox:id/googleapp_facade_search_box' description='Search…;;Voice search;;Camera search'> Search…    <div id=8 class='com.google.android.googlequicksearchbox:id/googleapp_lens_icon' description='Camera search'>  </div>    <div id=9 class='com.google.android.googlequicksearchbox:id/googleapp_mic_icon' description='Voice search'>  </div> </div><button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button><button id=11 class='com.google.android.googlequicksearchbox:id/googleapp_share_doodle_image' description='Share doodle'>  </button><button id=12 class='com.google.android.googlequicksearchbox:id/googleapp_doodle' description='Singapore National Elections 2023'>  </button>,Action: Click on <button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>
<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>,Action: Click on <div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div>,<div id=1 class='' > About </div><div id=2 class='' > Language & region </div><div id=3 class='' > Voice </div><div id=4 class='' > Google Assistant </div><div id=5 class='' > Personalization </div><div id=6 class='' > Personal results </div><div id=7 class='' > SafeSearch </div><div id=8 class='' > Notifications </div><div id=9 class='' > General </div><div id=10 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=11 class='' description='Close Settings'>  </div>
<div id=1 class='' > About </div><div id=2 class='' > Language & region </div><div id=3 class='' > Voice </div><div id=4 class='' > Google Assistant </div><div id=5 class='' > Personalization </div><div id=6 class='' > Personal results </div><div id=7 class='' > SafeSearch </div><div id=8 class='' > Notifications </div><div id=9 class='' > General </div><div id=10 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=11 class='' description='Close Settings'>  </div>,Action: Click on <div id=2 class='' > Language & region </div>,<div id=1 class='' > Search Region </div><div id=2 class='' > Search language </div><div id=3 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=4 class='' description='Navigate up'>  </div>
<button id=1 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_collections' description='Collections Button'> Collections </button><button id=2 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_search' description='Search'> Search </button><div id=3 class='' description='Like this card;;Share Chat with pandas DataFrames using LLMs;;More options'>     <div id=4 class='' description='More options'>  </div>    <div id=5 class='' description='Share Chat with pandas DataFrames using LLMs'>  </div>    <div id=6 class='' description='Like this card'>  </div> </div><div id=7 class='com.google.android.googlequicksearchbox:id/googleapp_facade_search_box' description='Search…;;Voice search;;Camera search'> Search…    <div id=8 class='com.google.android.googlequicksearchbox:id/googleapp_lens_icon' description='Camera search'>  </div>    <div id=9 class='com.google.android.googlequicksearchbox:id/googleapp_mic_icon' description='Voice search'>  </div> </div><button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button><button id=11 class='com.google.android.googlequicksearchbox:id/googleapp_share_doodle_image' description='Share doodle'>  </button><button id=12 class='com.google.android.googlequicksearchbox:id/googleapp_doodle' description='Singapore National Elections 2023'>  </button>,Action: Click on <button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>
<button id=1 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_collections' description='Collections Button'> Collections </button><button id=2 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_search' description='Search'> Search </button><div id=3 class='' description='Like this card;;Share Chat with pandas DataFrames using LLMs;;More options'>     <div id=4 class='' description='More options'>  </div>    <div id=5 class='' description='Share Chat with pandas DataFrames using LLMs'>  </div>    <div id=6 class='' description='Like this card'>  </div> </div><div id=7 class='com.google.android.googlequicksearchbox:id/googleapp_facade_search_box' description='Search…;;Voice search;;Camera search'> Search…    <div id=8 class='com.google.android.googlequicksearchbox:id/googleapp_lens_icon' description='Camera search'>  </div>    <div id=9 class='com.google.android.googlequicksearchbox:id/googleapp_mic_icon' description='Voice search'>  </div> </div><button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button><button id=11 class='com.google.android.googlequicksearchbox:id/googleapp_share_doodle_image' description='Share doodle'>  </button><button id=12 class='com.google.android.googlequicksearchbox:id/googleapp_doodle' description='Singapore National Elections 2023'>  </button>,Action: Click on <button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>
<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>,Action: Click on <div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div>,<div id=1 class='' > About </div><div id=2 class='' > Privacy & Security </div><div id=3 class='' > Language & region </div><div id=4 class='' > Voice </div><div id=5 class='' > Google Assistant </div><div id=6 class='' > Personalization </div><div id=7 class='' > Personal results </div><div id=8 class='' > SafeSearch </div><div id=9 class='' > Notifications </div><div id=10 class='' > General </div><div id=11 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=12 class='' description='Close Settings'>  </div>
<div id=1 class='' > About </div><div id=2 class='' > Privacy & Security </div><div id=3 class='' > Language & region </div><div id=4 class='' > Voice </div><div id=5 class='' > Google Assistant </div><div id=6 class='' > Personalization </div><div id=7 class='' > Personal results </div><div id=8 class='' > SafeSearch </div><div id=9 class='' > Notifications </div><div id=10 class='' > General </div><div id=11 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=12 class='' description='Close Settings'>  </div>,Action: Click on <div id=1 class='' > About </div>,<div id=1 class='' > Third Party Notices </div><div id=2 class='' > Legal notices </div><div id=3 class='' > Privacy policy </div><div id=4 class='' > Terms of service </div><div id=5 class='' > Version    <p> ‎14.3.13.29.arm64 </p> </div><div id=6 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=7 class='' description='Navigate up'>  </div>
<div id=1 class='' > Third Party Notices </div><div id=2 class='' > Legal notices </div><div id=3 class='' > Privacy policy </div><div id=4 class='' > Terms of service </div><div id=5 class='' > Version    <p> ‎14.3.13.29.arm64 </p> </div><div id=6 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=7 class='' description='Navigate up'>  </div>,Action: Click on <div id=5 class='' > Version    <p> ‎14.3.13.29.arm64 </p> </div>,<div id=1 class='' > Third Party Notices </div><div id=2 class='' > Legal notices </div><div id=3 class='' > Privacy policy </div><div id=4 class='' > Terms of service </div><div id=5 class='' > Version    <p> ‎14.3.13.29.arm64 </p> </div><div id=6 class='com.google.android.googlequicksearchbox:id/googleapp_settings_search' description='Search'>  </div><div id=7 class='' description='Navigate up'>  </div>
<div id=1 class='' > Passwords & accounts </div><div id=2 class='' > Safety & emergency    <p> Emergency SOS;; medical info;; alerts </p> </div><div id=3 class='' > Location    <p> On - 4 apps have access to location </p> </div><div id=4 class='' > Security & privacy    <p> App security;; device lock;; permissions </p> </div><div id=5 class='' > Accessibility    <p> Display;; interaction;; audio </p> </div><div id=6 class='' > Wallpaper & style    <p> Colors;; themed icons;; app grid </p> </div><div id=7 class='' > Display    <p> Dark theme;; font size;; brightness </p> </div><div id=8 class='' > Sound & vibration    <p> Volume;; haptics;; Do Not Disturb </p> </div><div id=9 class='' > Storage    <p> 49% used - 4.09 GB free </p> </div><div id=10 class='com.android.settings:id/search_action_bar' > Search settings </div>,Action: Click on <div id=3 class='' > Location    <p> On - 4 apps have access to location </p> </div>,<div id=1 class='' > Location services </div><div id=2 class='' > App location permissions    <p> 4 of 13 apps have access to location </p> </div><div id=3 class='' > See all </div><div id=4 class='com.android.settings:id/switch_bar' > Use location    <switch id=5 class='android:id/switch_widget' clickable> On </switch> </div><div id=6 class='' description='Navigate up'>  </div>
<div id=1 class='' > Passwords & accounts </div><div id=2 class='' > Safety & emergency    <p> Emergency SOS;; medical info;; alerts </p> </div><div id=3 class='' > Location    <p> On - 4 apps have access to location </p> </div><div id=4 class='' > Security & privacy    <p> App security;; device lock;; permissions </p> </div><div id=5 class='' > Accessibility    <p> Display;; interaction;; audio </p> </div><div id=6 class='' > Wallpaper & style    <p> Colors;; themed icons;; app grid </p> </div><div id=7 class='' > Display    <p> Dark theme;; font size;; brightness </p> </div><div id=8 class='' > Sound & vibration    <p> Volume;; haptics;; Do Not Disturb </p> </div><div id=9 class='' > Storage    <p> 49% used - 4.09 GB free </p> </div><div id=10 class='com.android.settings:id/search_action_bar' > Search settings </div>,Action: Click on <div id=3 class='' > Location    <p> On - 4 apps have access to location </p> </div>,<div id=1 class='' > Location services </div><div id=2 class='' > App location permissions    <p> 4 of 13 apps have access to location </p> </div><div id=3 class='' > See all </div><div id=4 class='com.android.settings:id/switch_bar' > Use location    <switch id=5 class='android:id/switch_widget' clickable> On </switch> </div><div id=6 class='' description='Navigate up'>  </div>
<button id=1 class='com.google.android.contacts:id/nav_manage' description='Fix & manage'> Fix & manage </button><button id=2 class='com.google.android.contacts:id/highlights' description='Highlights'> Highlights </button><div id=3 class='com.google.android.contacts:id/floating_action_button' description='Create contact'>  </div><div id=4 class='' description='X;;Xu Peisen'> X    <p> Xu Peisen </p> </div><div id=5 class='' description='S;;Sophia'> S    <p> Sophia </p> </div><div id=6 class='' description='R;;Ram Ashwin'> R    <p> Ram Ashwin </p> </div><div id=7 class='' description='P;;Prof. Zhao'> P    <p> Prof. Zhao </p> </div><div id=8 class='' description='H;;haiyiz@cs.cmu.edu'> H    <p> haiyiz@cs.cmu.edu </p> </div><div id=9 class='' description='C;;Chen Zhou'> C    <p> Chen Zhou </p> </div><div id=10 class='' description='A;;Ashwin Ram'> A    <p> Ashwin Ram </p> </div><div id=11 class='' > Company </div><div id=12 class='' > Email contacts </div><div id=13 class='' > Phone contacts </div><div id=14 class='com.google.android.contacts:id/open_search_bar' description='Open navigation drawer;;More options;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search contacts    <p> Search contacts </p>    <button id=15 class='com.google.android.contacts:id/selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <button id=16 class='' description='More options'>  </button>    <div id=17 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <button id=1 class='com.google.android.contacts:id/nav_manage' description='Fix & manage'> Fix & manage </button>,<button id=1 class='com.google.android.contacts:id/highlights' description='Highlights'> Highlights </button><button id=2 class='com.google.android.contacts:id/contacts' description='Contacts'> Contacts </button><div id=3 class='com.google.android.contacts:id/floating_action_button' description='Create contact'>  </div><div id=4 class='' >  </div><div id=5 class='' >  </div><div id=6 class='' >  </div><div id=7 class='' >  </div><div id=8 class='' >  </div><div id=9 class='' >  </div><div id=10 class='' >  </div><div id=11 class='' > Company </div><div id=12 class='' > Email contacts </div><div id=13 class='' > Phone contacts </div><div id=14 class='com.google.android.contacts:id/open_search_bar' description='Open navigation drawer;;More options;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search contacts    <p> Search contacts </p>    <button id=15 class='com.google.android.contacts:id/selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <button id=16 class='' description='More options'>  </button>    <div id=17 class='' description='Open navigation drawer'>  </div> </div>
<button id=1 class='com.google.android.contacts:id/nav_manage' description='Fix & manage'> Fix & manage </button><button id=2 class='com.google.android.contacts:id/highlights' description='Highlights'> Highlights </button><div id=3 class='com.google.android.contacts:id/floating_action_button' description='Create contact'>  </div><div id=4 class='' description='X;;Xu Peisen'> X    <p> Xu Peisen </p> </div><div id=5 class='' description='S;;Sophia'> S    <p> Sophia </p> </div><div id=6 class='' description='R;;Ram Ashwin'> R    <p> Ram Ashwin </p> </div><div id=7 class='' description='P;;Prof. Zhao'> P    <p> Prof. Zhao </p> </div><div id=8 class='' description='H;;haiyiz@cs.cmu.edu'> H    <p> haiyiz@cs.cmu.edu </p> </div><div id=9 class='' description='C;;Chen Zhou'> C    <p> Chen Zhou </p> </div><div id=10 class='' description='A;;Ashwin Ram'> A    <p> Ashwin Ram </p> </div><div id=11 class='' > Company </div><div id=12 class='' > Email contacts </div><div id=13 class='' > Phone contacts </div><div id=14 class='com.google.android.contacts:id/open_search_bar' description='Open navigation drawer;;More options;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search contacts    <p> Search contacts </p>    <button id=15 class='com.google.android.contacts:id/selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <button id=16 class='' description='More options'>  </button>    <div id=17 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <button id=16 class='' description='More options'>  </button>,<div id=1 class='' > Customize view </div><div id=2 class='' > Select all </div><div id=3 class='' > Select </div>
<div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div><div id=2 class='com.android.chrome:id/tab_switcher_button' description='Switch or close tabs'>  </div><div id=3 class='com.android.chrome:id/optional_toolbar_button' description='Manage account'>  </div><div id=4 class='com.android.chrome:id/home_button' description='Home'>  </div><div id=5 class='' description='Share Large language models aren’t people. Let’s stop testing them as if they were.;;Card menu Large language models aren’t people. Let’s stop testing them as if they were.'>     <div id=6 class='' description='Card menu Large language models aren’t people. Let’s stop testing them as if they were.'>  </div>    <div id=7 class='' description='Share Large language models aren’t people. Let’s stop testing them as if they were.'>  </div> </div><div id=8 class='com.android.chrome:id/header_menu' description='Options for Discover'>  </div><button id=9 class='' description='Navigate: V2EX: www.v2ex.com'> V2EX </button><button id=10 class='' description='Navigate: 维基百科: zh.m.wikipedia.org'> 维基百科 </button><button id=11 class='' description='Navigate: GitHub: github.com'> GitHub </button><button id=12 class='' description='Navigate: Facebook: m.facebook.com;;Available offline'> Facebook </button><button id=13 class='' description='Navigate: 百度: www.baidu.com'> 百度 </button><button id=14 class='' description='Navigate: 虎扑体育-虎扑网: www.hupu.com'> 虎扑体育-虎扑网 </button><button id=15 class='' description='Navigate: Decoder: localhost'> Decoder </button><button id=16 class='' description='Navigate: 首页 - YouTube: m.youtube.com;;Available offline'> 首页 - YouTube </button><button id=17 class='com.android.chrome:id/lens_camera_button' description='Search with your camera using Google Lens'>  </button><button id=18 class='com.android.chrome:id/voice_search_button' description='Start voice search'>  </button><div id=19 class='com.android.chrome:id/search_box_text' > Search or type web address </div><button id=20 class='com.android.chrome:id/search_provider_logo' description='Google doodle: Singapore National Elections 2023'>  </button>,Action: Click on <div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div>,<div id=1 class='com.android.chrome:id/help_id' description='Help & feedback'> Help & feedback </div><div id=2 class='com.android.chrome:id/preferences_id' description='Settings'> Settings </div><div id=3 class='com.android.chrome:id/divider_line_id' >  </div><div id=4 class='com.android.chrome:id/recent_tabs_menu_id' description='Recent tabs'> Recent tabs </div><div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div><div id=6 class='com.android.chrome:id/downloads_menu_id' description='Downloads'> Downloads </div><div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div><div id=8 class='com.android.chrome:id/divider_line_id' >  </div><div id=9 class='com.android.chrome:id/new_incognito_tab_menu_id' description='New Incognito tab'> New Incognito tab </div><div id=10 class='com.android.chrome:id/new_tab_menu_id' description='New tab'> New tab </div><div id=11 class='com.android.chrome:id/button_five' description='Refresh'>  </div><div id=12 class='com.android.chrome:id/button_four' description='Page info'>  </div><div id=13 class='com.android.chrome:id/button_three' description='Download'>  </div><div id=14 class='com.android.chrome:id/button_two' description='Bookmark'>  </div><div id=15 class='com.android.chrome:id/button_one' description='Forward'>  </div>
<div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div><div id=2 class='com.android.chrome:id/tab_switcher_button' description='Switch or close tabs'>  </div><div id=3 class='com.android.chrome:id/optional_toolbar_button' description='Manage account'>  </div><div id=4 class='com.android.chrome:id/home_button' description='Home'>  </div><div id=5 class='com.android.chrome:id/header_menu' description='Options for Discover'>  </div><button id=6 class='' description='Navigate: V2EX: www.v2ex.com'> V2EX </button><button id=7 class='' description='Navigate: 维基百科: zh.m.wikipedia.org'> 维基百科 </button><button id=8 class='' description='Navigate: GitHub: github.com'> GitHub </button><button id=9 class='' description='Navigate: Facebook: m.facebook.com;;Available offline'> Facebook </button><button id=10 class='' description='Navigate: 百度: www.baidu.com'> 百度 </button><button id=11 class='' description='Navigate: 虎扑体育-虎扑网: www.hupu.com'> 虎扑体育-虎扑网 </button><button id=12 class='' description='Navigate: Decoder: localhost'> Decoder </button><button id=13 class='' description='Navigate: 首页 - YouTube: m.youtube.com;;Available offline'> 首页 - YouTube </button><button id=14 class='com.android.chrome:id/lens_camera_button' description='Search with your camera using Google Lens'>  </button><button id=15 class='com.android.chrome:id/voice_search_button' description='Start voice search'>  </button><div id=16 class='com.android.chrome:id/search_box_text' > Search or type web address </div><button id=17 class='com.android.chrome:id/search_provider_logo' description='Google doodle: Singapore National Elections 2023'>  </button>,Action: Click on <div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div>,<div id=1 class='com.android.chrome:id/help_id' description='Help & feedback'> Help & feedback </div><div id=2 class='com.android.chrome:id/preferences_id' description='Settings'> Settings </div><div id=3 class='com.android.chrome:id/divider_line_id' >  </div><div id=4 class='com.android.chrome:id/recent_tabs_menu_id' description='Recent tabs'> Recent tabs </div><div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div><div id=6 class='com.android.chrome:id/downloads_menu_id' description='Downloads'> Downloads </div><div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div><div id=8 class='com.android.chrome:id/divider_line_id' >  </div><div id=9 class='com.android.chrome:id/new_incognito_tab_menu_id' description='New Incognito tab'> New Incognito tab </div><div id=10 class='com.android.chrome:id/new_tab_menu_id' description='New tab'> New tab </div><div id=11 class='com.android.chrome:id/button_five' description='Refresh'>  </div><div id=12 class='com.android.chrome:id/button_four' description='Page info'>  </div><div id=13 class='com.android.chrome:id/button_three' description='Download'>  </div><div id=14 class='com.android.chrome:id/button_two' description='Bookmark'>  </div><div id=15 class='com.android.chrome:id/button_one' description='Forward'>  </div>
<div id=1 class='com.android.chrome:id/help_id' description='Help & feedback'> Help & feedback </div><div id=2 class='com.android.chrome:id/preferences_id' description='Settings'> Settings </div><div id=3 class='com.android.chrome:id/divider_line_id' >  </div><div id=4 class='com.android.chrome:id/recent_tabs_menu_id' description='Recent tabs'> Recent tabs </div><div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div><div id=6 class='com.android.chrome:id/downloads_menu_id' description='Downloads'> Downloads </div><div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div><div id=8 class='com.android.chrome:id/divider_line_id' >  </div><div id=9 class='com.android.chrome:id/new_incognito_tab_menu_id' description='New Incognito tab'> New Incognito tab </div><div id=10 class='com.android.chrome:id/new_tab_menu_id' description='New tab'> New tab </div><div id=11 class='com.android.chrome:id/button_five' description='Refresh'>  </div><div id=12 class='com.android.chrome:id/button_four' description='Page info'>  </div><div id=13 class='com.android.chrome:id/button_three' description='Download'>  </div><div id=14 class='com.android.chrome:id/button_two' description='Bookmark'>  </div><div id=15 class='com.android.chrome:id/button_one' description='Forward'>  </div>,Action: Click on <div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div>,<div id=1 class='com.android.chrome:id/close_menu_id' description='Close'>  </div>
